Division Number: 51
Division Date: 29 November 2024 - 14:08

Terminally Ill Adults (End of Life) Bill: Second Reading

Aye Count: 330
No Count: 275
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"John McDonnell","Independent","Hayes and Harlington","Aye",""
"Blair McDougall","Labour","East Renfrewshire","No",""
"Lola McEvoy","Labour","Darlington","No",""
"Pat McFadden","Labour","Wolverhampton South East","Aye",""
"Alison McGovern","Labour","Birkenhead","Aye",""
"Alex McIntyre","Labour","Gloucester","No",""
"Gordon McKee","Labour","Glasgow South","No",""
"Kevin McKenna","Labour","Sittingbourne and Sheppey","Aye",""
"Catherine McKinnell","Labour","Newcastle upon Tyne North","No",""
"Jim McMahon","Labour","Oldham West, Chadderton and Royton","No",""
"Anna McMorrin","Labour","Cardiff North","Aye",""
"James McMurdock","Reform UK","South Basildon and East Thurrock","No",""
"Frank McNally","Labour","Coatbridge and Bellshill","No",""
"Kirsty McNeill","Labour","Midlothian","Aye","Chris Elmore"
"Esther McVey","Conservative","Tatton","No",""
"Llinos Medi","Plaid Cymru","Ynys Môn","Aye",""
"Anneliese Midgley","Labour","Knowsley","No",""
"Ed Miliband","Labour","Doncaster North","Aye",""
"Calum Miller","Liberal Democrat","Bicester and Woodstock","No",""
"John Milne","Liberal Democrat","Horsham","Aye",""
"Julie Minns","Labour","Carlisle","No",""
"Navendu Mishra","Labour","Stockport","No Vote Recorded",""
"Andrew Mitchell","Conservative","Sutton Coldfield","Aye",""
"Abtisam Mohamed","Labour","Sheffield Central","No",""
"Iqbal Mohamed","Independent","Dewsbury and Batley","No",""
"Gagan Mohindra","Conservative","South West Hertfordshire","No",""
"Perran Moon","Labour","Camborne and Redruth","Aye",""
"Robbie Moore","Conservative","Keighley and Ilkley","No",""
"Layla Moran","Liberal Democrat","Oxford West and Abingdon","Aye",""
"Jessica Morden","Labour","Newport East","Aye",""
"Edward Morello","Liberal Democrat","West Dorset","Aye",""
"Helen Morgan","Liberal Democrat","North Shropshire","Aye",""
"Stephen Morgan","Labour","Portsmouth South","Aye",""
"Grahame Morris","Labour","Easington","No",""
"Joe Morris","Labour","Hexham","Aye",""
"Tom Morrison","Liberal Democrat","Cheadle","No",""
"Joy Morrissey","Conservative","Beaconsfield","No",""
"Wendy Morton","Conservative","Aldridge-Brownhills","No",""
"Kieran Mullan","Conservative","Bexhill and Battle","No",""
"Margaret Mullane","Labour","Dagenham and Rainham","No",""
"David Mundell","Conservative","Dumfriesshire, Clydesdale and Tweeddale","No",""
"Tessa Munt","Liberal Democrat","Wells and Mendip Hills","Aye",""
"Luke Murphy","Labour","Basingstoke","Aye",""
"Chris Murray","Labour","Edinburgh East and Musselburgh","Aye",""
"Ian Murray","Labour","Edinburgh South","No Vote Recorded",""
"James Murray","Labour","Ealing North","Aye",""
"Katrina Murray","Labour","Cumbernauld and Kirkintilloch","No",""
"Susan Murray","Liberal Democrat","Mid Dunbartonshire","Aye",""
